id,year,issue_d,final_d,emp_length_int,home_ownership,home_ownership_cat,income_category,annual_inc,income_cat,loan_amount,term,term_cat,application_type,application_type_cat,purpose,purpose_cat,interest_payments,interest_payment_cat,loan_condition,loan_condition_cat,interest_rate,grade,grade_cat,dti,total_pymnt,total_rec_prncp,recoveries,installment,region,,
6297794,2013,01-07-2013,1122015,10,MORTGAGE,3,Low,55000,1,10000,36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,10.64,B,2,20.57,11630.35,10000,0,325.69,cannught,,
4526163,2013,01-05-2013,1102014,9,RENT,1,Low,60000,1,10575,36 months,1,INDIVIDUAL,1,home_improvement,7,High,2,Good Loan,0,21,E,5,8.82,13165.83707,10575,0,398.42,cannught,,
9001808,2013,01-11-2013,1012016,10,MORTGAGE,3,Low,63000,1,8875,36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,13.67,B,2,8.72,7849.66,6033.91,0,301.91,munster,,
7306367,2013,01-09-2013,1122015,10,MORTGAGE,3,Low,100000,1,10500,60 months,2,INDIVIDUAL,1,major_purchase,8,High,2,Good Loan,0,16.2,C,3,19.52,6924.42,3707.15,0,256.46,ulster,,
6532028,2013,01-08-2013,1082014,10,MORTGAGE,3,Low,85000,1,24000,36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,16.78,C,3,15.49,27523.60099,24000,0,853.04,ulster,,
6316917,2013,01-07-2013,1102014,1,RENT,1,Low,82500,1,9000,36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,9.71,B,2,7.96,9901.40164,9000,0,289.19,munster,,
1570001,2012,01-10-2012,1102015,0.5,RENT,1,Low,55000,1,12000,36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,15.31,C,3,24.34,15040.97044,12000,0,417.81,Northern-Irl,,
26199528,2014,01-10-2014,1012016,10,RENT,1,Low,67980,1,10000,36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,6.03,A,1,6.54,4761.17,4158.69,0,304.36,Northern-Irl,,
35074071,2014,01-11-2014,1122015,10,RENT,1,Low,51000,1,7000,36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,8.67,B,2,12.4,2876.52,2321.36,0,221.53,Northern-Irl,,
3725985,2013,01-03-2013,1012016,1,MORTGAGE,3,Low,40000,1,17875,60 months,2,INDIVIDUAL,1,credit_card,1,High,2,Good Loan,0,16.29,C,3,20.73,14435.85,8041.99,0,437.45,ulster,,
